date,SPY,QQQ,NVTS,IONQ
2022-10-20,1.0,0.0,0.0,0.0
2022-11-03,0.0,1.0,0.0,0.0
2022-11-17,0.0,1.0,0.0,0.0
2022-12-02,0.0,1.0,0.0,0.0
2022-12-16,1.0,0.0,0.0,0.0
2023-01-03,1.0,0.0,0.0,0.0
2023-01-18,1.0,0.0,0.0,0.0
2023-02-01,1.0,0.0,0.0,0.0
2023-02-15,1.0,0.0,0.0,0.0
2023-03-02,1.0,0.0,0.0,0.0
2023-03-16,1.0,0.0,0.0,0.0
2023-03-30,1.0,0.0,0.0,0.0
2023-04-14,1.0,0.0,0.0,0.0
2023-04-28,1.0,0.0,0.0,0.0
2023-05-12,1.0,0.0,0.0,0.0
2023-05-26,0.0,1.0,0.0,0.0
2023-06-12,1.0,0.0,0.0,0.0
2023-06-27,0.26270863241489867,0.7372913675851013,0.0,0.0
2023-07-12,1.0,0.0,0.0,0.0
2023-07-26,1.0,0.0,0.0,0.0
2023-08-09,1.0,0.0,0.0,0.0
2023-08-23,0.4349472083657831,0.5650527916342168,0.0,0.0
2023-09-07,1.0,0.0,0.0,0.0
2023-09-21,1.0,0.0,0.0,0.0
2023-10-05,0.994968847945652,0.005031152054348061,0.0,0.0
2023-10-19,0.9544821491645117,0.04551785083548827,0.0,0.0
2023-11-02,1.0,0.0,0.0,0.0
2023-11-16,1.0,0.0,0.0,0.0
2023-12-01,0.0,1.0,0.0,0.0
2023-12-15,0.0,1.0,0.0,0.0
2024-01-02,1.0,0.0,0.0,0.0
2024-01-17,1.0,0.0,0.0,0.0
2024-01-31,1.0,0.0,0.0,0.0
2024-02-14,0.0,0.0,0.0,1.0
2024-02-29,0.0,1.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,1.0
2024-03-28,0.20639162022790677,0.0,0.0,0.7936083797720932
2024-04-12,1.0,0.0,0.0,0.0
2024-04-26,0.9967765735319857,0.0,0.0,0.003223426468014251
2024-05-10,1.0,0.0,0.0,0.0
2024-05-24,0.018279009641172718,0.0,0.0,0.9817209903588272
2024-06-10,0.4270296104181599,0.5729703895818402,0.0,0.0
2024-06-25,0.0,1.0,0.0,0.0
2024-07-10,0.33389606105025543,0.6661039389497445,0.0,0.0
2024-07-24,1.0,0.0,0.0,0.0
2024-08-07,0.0,1.0,0.0,0.0
2024-08-21,0.0,0.0,0.0,1.0
2024-09-05,1.0,0.0,0.0,0.0
2024-09-19,0.005960483144294992,0.7379187702865381,0.0,0.256120746569167
2024-10-03,1.0,0.0,0.0,0.0
2024-10-17,0.24114405418155413,0.12091484228466069,0.0,0.6379411035337852
2024-10-31,0.027859724990456632,0.0,0.0,0.9721402750095434
2024-11-14,0.00568870971766457,0.04437340860405762,0.949937881678278,0.0
2024-11-29,0.0,0.006171672325731656,0.0,0.9938283276742684
2024-12-13,0.0,0.0,0.2517491023049844,0.7482508976950156
2024-12-30,0.0,0.048450058295567484,0.9515499417044325,0.0
2025-01-15,0.20553116703887347,0.09537975859594885,0.0,0.6990890743651776
2025-01-30,0.2256977777507144,0.7743022222492857,0.0,0.0
2025-02-13,0.5855824137634158,0.1429226438577358,0.0,0.27149494237884847
2025-02-28,0.025685454031357326,0.20323184494083626,0.00873726803374133,0.7623454329940652
2025-03-14,0.0,0.02263332252083709,0.4470752252061165,0.5302914522730464
2025-03-28,0.0029918161607055383,0.0,0.0,0.9970081838392945
2025-04-11,0.02326711257902007,0.0,0.021170443878832327,0.9555624435421476
2025-04-28,0.0628713827819725,0.34099389835902055,0.0,0.596134718859007
2025-05-12,0.3291186874756576,0.05155359909751513,0.6193277134268275,0.0
2025-05-27,0.0,1.0,0.0,0.0
2025-06-10,0.002559351384677581,0.34120334766758703,0.0,0.6562373009477354
2025-06-25,0.0,0.0,0.0,1.0
2025-07-10,0.0,0.0,0.0,1.0
2025-07-24,0.16725662108755035,0.8327433789124495,0.0,0.0
2025-08-07,0.0005209568688752159,0.0,0.20483295034489146,0.7946460927862333
2025-08-21,0.002877277512485814,0.020847829303132025,0.9762748931843822,0.0
2025-09-05,0.35940009168337855,0.02728223617761158,0.6133176721390098,0.0
2025-09-19,0.031013406738320932,0.0,0.7615137313598409,0.2074728619018383
2025-10-03,0.0476605640637087,0.054478807714527476,0.8978606282217638,0.0
2025-10-17,0.04394580292862182,0.009756277621587284,0.0,0.9462979194497909
2025-10-31,0.004589484551451934,0.0012758002526582059,0.9855937540776485,0.008540961118241432
2025-11-14,0.025985474364066834,0.0,0.9740145256359333,0.0
2025-12-01,0.0,1.0,0.0,0.0
2025-12-15,0.0023702594979393816,0.0,0.9976297405020607,0.0
2025-12-30,0.0,0.0,1.0,0.0
2026-01-14,0.8812512767031299,0.02895163959230709,0.08979708370456295,0.0
2026-01-29,1.0,0.0,0.0,0.0
2026-02-12,0.47464315741116614,0.0,0.0,0.5253568425888339
2026-02-27,0.0,8.770821589606805e-05,0.9999122917841039,0.0
2026-03-13,0.0,0.0,0.11711887487517435,0.8828811251248256
